Type of Product,Date of Purchase,Time of Purchase,Cost of Purchase,Qty of Purchase,With Promotion,Customer ID,Seller Brand,Seller ID,Rating,Time Taken for Transaction (s)
Fashion,16/01/2022,2023-03-18 18:25:54.241306,945.77,5,1,22952,Fashion Nova,465,2,37.55
Fashion,10/01/2020,2023-03-18 20:20:57.241307,642.0,10,1,23023,New Look,692,3,100.57
Fashion,01/07/2021,2023-03-18 19:42:21.241309,444.67,2,1,19966,Oysho,494,4,75.55
Fashion,23/04/2021,2023-03-18 18:52:06.241311,574.32,6,0,76050,Missguided,103,5,9.54
Fashion,23/07/2020,2023-03-18 18:18:06.241312,363.28,8,0,40670,Miss Selfridge,860,3,5.42
Fashion,30/04/2020,2023-03-18 19:31:00.241314,364.7,10,0,56427,H&M,592,4,35.36
Fashion,22/08/2020,2023-03-18 18:39:59.241316,647.94,9,1,33172,Miss Selfridge,833,2,3.79
Fashion,11/02/2020,2023-03-18 18:28:55.241317,899.09,1,0,11949,C&A,977,1,58.43
Fashion,02/06/2020,2023-03-18 18:55:27.241319,23.61,5,0,61029,River Island,687,3,39.49
Fashion,25/07/2021,2023-03-18 19:31:13.241320,10.79,7,0,76276,Fashion Nova,248,5,25.53
Fashion,16/10/2020,2023-03-18 20:24:46.241322,481.21,9,1,56353,Reebok,709,2,33.18
Fashion,22/08/2021,2023-03-18 20:09:14.241324,671.76,6,0,71058,Sportsgirl,455,1,112.93
Fashion,25/12/2021,2023-03-18 17:54:28.241325,373.05,7,0,54110,Primark,154,3,79.27
Fashion,05/09/2021,2023-03-18 19:35:05.241327,177.96,8,0,42216,Oysho,954,4,45.26
Fashion,27/12/2020,2023-03-18 18:27:23.241329,253.29,1,1,26240,Ally Fashion,525,2,44.89
Fashion,07/05/2020,2023-03-18 20:15:19.241330,360.57,6,0,67188,Pull & Bear,490,5,29.04
Fashion,06/12/2020,2023-03-18 19:36:44.241332,323.15,8,0,71435,Lefties,717,5,90.54
Fashion,21/01/2022,2023-03-18 17:50:28.241334,165.67,4,1,30973,Missguided,640,1,68.7
Fashion,23/09/2020,2023-03-18 18:06:38.241335,577.5,4,1,12359,C&A,265,1,94.46
Fashion,20/09/2020,2023-03-18 19:22:48.241337,650.62,9,1,46759,New Look,452,2,56.46
Fashion,24/03/2021,2023-03-18 18:44:42.241338,250.4,2,1,96459,Mango Outlet,495,4,118.71
Fashion,01/06/2020,2023-03-18 19:01:27.241340,833.57,6,1,19022,Mango Outlet,500,2,94.95
Fashion,06/04/2021,2023-03-18 17:42:06.241342,672.36,7,0,58282,Reserved,930,5,9.72
Fashion,29/12/2020,2023-03-18 18:53:25.241343,741.01,6,1,32294,Ally Fashion,605,1,21.88
Fashion,02/10/2020,2023-03-18 18:35:07.241345,168.63,2,1,99318,Boohoo,768,5,118.55
Fashion,02/01/2020,2023-03-18 18:34:59.241347,473.77,5,0,14164,Puma,276,5,117.06
Fashion,10/03/2020,2023-03-18 18:41:04.241348,261.81,3,0,41476,Ally Fashion,359,5,8.21
Fashion,29/07/2020,2023-03-18 18:00:36.241350,208.17,10,1,48966,Shein,538,4,111.31
Fashion,26/04/2020,2023-03-18 18:30:32.241352,746.21,10,1,41743,New Look,165,3,31.16
Fashion,04/02/2021,2023-03-18 20:19:14.241353,799.6,4,1,61513,Ally Fashion,929,2,24.48
Fashion,14/02/2021,2023-03-18 18:51:10.241355,427.8,9,1,14256,Miss Selfridge,995,1,71.9
Fashion,23/12/2020,2023-03-18 18:58:56.241357,629.69,1,1,60993,C&A,146,5,69.78
Fashion,21/01/2021,2023-03-18 18:11:26.241359,713.64,7,1,97902,Reebok,194,1,104.23
Fashion,10/08/2020,2023-03-18 19:49:49.241360,354.86,2,1,81889,AS Colour,201,5,63.36
Fashion,23/11/2020,2023-03-18 18:32:36.241362,313.32,7,0,91466,River Island,813,5,85.16
Fashion,21/12/2020,2023-03-18 20:05:08.241364,835.03,10,1,20313,The Iconic,796,3,98.19
Fashion,05/11/2020,2023-03-18 18:15:59.241365,353.7,6,1,95333,Stradivarius,908,5,4.51
Fashion,14/09/2020,2023-03-18 19:05:11.241367,758.42,10,0,88924,Mango Outlet,576,4,12.23
Fashion,13/03/2020,2023-03-18 18:37:00.241368,479.75,4,0,71042,New Look,825,2,81.53
Fashion,11/11/2020,2023-03-18 18:42:21.241370,720.29,8,1,78081,Boohoo,412,3,12.51
Fashion,30/05/2020,2023-03-18 17:57:25.241372,233.12,9,0,74680,Temt,458,5,7.03
Fashion,31/10/2021,2023-03-18 19:00:56.241373,921.71,2,0,15655,PrettyLittleThing,967,3,109.17
Fashion,28/01/2020,2023-03-18 18:05:51.241375,298.97,1,1,99758,Stradivarius,828,3,33.78
Fashion,22/02/2021,2023-03-18 19:55:35.241376,692.78,7,1,68498,Ally Fashion,914,4,82.72
Fashion,02/10/2021,2023-03-18 19:00:27.241378,466.35,5,1,21840,AS Colour,343,1,13.9
Fashion,12/10/2020,2023-03-18 19:32:40.241380,111.31,9,0,88055,H&M,298,4,50.33
Fashion,05/07/2021,2023-03-18 18:01:21.241382,293.05,7,0,15463,New Look,395,3,90.15
Fashion,02/06/2020,2023-03-18 19:17:50.241383,624.22,6,1,87691,New Look,327,2,68.79
Fashion,15/12/2020,2023-03-18 19:14:33.241385,25.97,4,0,85537,Ally Fashion,988,5,16.77
Fashion,20/12/2020,2023-03-18 17:46:52.241387,320.47,5,1,84059,Nasty Gal,717,2,83.88
Fashion,10/01/2021,2023-03-18 20:20:13.241388,915.46,6,0,89487,H&M,871,5,9.65
Fashion,09/07/2021,2023-03-18 18:20:56.241390,546.6,5,1,40079,River Island,371,2,108.34
Fashion,01/08/2021,2023-03-18 17:46:32.241391,940.98,7,0,60562,Bershka,325,5,88.3
Fashion,09/09/2020,2023-03-18 18:48:30.241393,221.2,1,1,71736,New Look,335,5,76.47
Fashion,16/01/2022,2023-03-18 18:32:30.241395,148.28,4,0,35759,Bershka,807,4,116.54
Fashion,05/03/2021,2023-03-18 19:01:36.241396,230.22,9,0,97905,Reebok,846,5,61.44
Fashion,04/05/2020,2023-03-18 18:05:19.241398,171.05,8,0,66478,AS Colour,530,3,12.47
Fashion,24/01/2020,2023-03-18 18:01:09.241399,77.64,2,0,34548,Sportsgirl,989,5,18.26
Fashion,03/01/2022,2023-03-18 20:20:09.241401,817.88,4,0,18676,Puma,322,4,41.12
Fashion,13/12/2021,2023-03-18 19:03:49.241403,365.87,8,0,94478,Stradivarius,994,3,106.8
Fashion,20/06/2021,2023-03-18 18:21:13.241404,660.98,9,0,89741,H&M,848,4,55.32
Fashion,09/06/2020,2023-03-18 18:13:01.241406,25.57,1,0,89123,River Island,160,3,2.03
Fashion,22/12/2021,2023-03-18 20:17:30.241408,886.2,4,1,69224,C&A,563,4,119.21
Fashion,31/01/2021,2023-03-18 18:46:38.241409,723.97,8,0,78275,Pull & Bear,979,4,26.65
Fashion,04/10/2021,2023-03-18 19:57:24.241411,846.89,4,0,68947,Boohoo,768,4,90.29
Fashion,18/08/2021,2023-03-18 20:26:45.241412,762.77,3,0,77961,Zalando,684,1,39.87
Fashion,08/10/2020,2023-03-18 18:23:57.241414,691.05,4,0,36736,Puma,335,1,100.51
Fashion,07/12/2021,2023-03-18 18:15:07.241416,221.97,6,1,73866,Puma,248,2,72.68
Fashion,24/07/2021,2023-03-18 19:14:10.241417,399.8,9,0,74045,Fashion Nova,639,4,34.73
Fashion,21/11/2021,2023-03-18 18:44:59.241419,542.9,1,1,37222,Boohoo,424,1,86.9
Fashion,28/05/2020,2023-03-18 18:34:31.241421,716.11,10,1,80451,New Look,540,5,55.34
Fashion,15/02/2020,2023-03-18 19:34:13.241423,872.34,10,1,94910,Primark,361,4,96.41
Fashion,14/05/2020,2023-03-18 18:12:04.241424,188.29,1,0,78902,Mango Outlet,666,5,69.47
Fashion,15/01/2021,2023-03-18 17:50:39.241426,967.26,6,1,65841,Sportsgirl,673,3,22.82
Fashion,17/07/2021,2023-03-18 20:14:56.241427,687.17,10,0,69486,PrettyLittleThing,285,1,1.54
Fashion,26/07/2021,2023-03-18 18:56:17.241429,2.18,8,0,96925,Reserved,867,3,86.29
Fashion,25/03/2021,2023-03-18 18:43:11.241431,170.82,8,0,12109,Bershka,631,2,73.11
Fashion,08/05/2020,2023-03-18 18:38:47.241432,973.16,9,1,28246,Puma,210,4,33.02
Fashion,11/07/2021,2023-03-18 19:45:08.241434,660.18,7,0,82765,Ally Fashion,883,5,7.01
Fashion,31/10/2021,2023-03-18 20:05:18.241436,920.71,6,0,48800,Primark,573,1,51.62
Fashion,03/11/2021,2023-03-18 19:40:23.241437,691.3,6,1,18143,Bershka,768,4,78.65
Fashion,05/01/2021,2023-03-18 19:23:28.241439,685.56,6,1,27758,Puma,960,3,75.22
Fashion,04/01/2022,2023-03-18 19:46:32.241440,113.1,1,1,46768,Nasty Gal,291,2,37.0
Fashion,02/07/2020,2023-03-18 18:59:53.241442,942.13,2,0,35546,Mango Outlet,658,1,10.54
Fashion,25/12/2021,2023-03-18 19:07:02.241444,308.06,1,1,78667,River Island,904,1,23.85
Fashion,14/07/2021,2023-03-18 17:50:16.241445,222.53,9,1,68646,Oysho,900,4,87.26
Fashion,07/09/2020,2023-03-18 18:06:40.241447,803.53,3,1,29022,PrettyLittleThing,796,2,106.0
Fashion,25/04/2021,2023-03-18 17:43:10.241448,471.45,7,0,39775,Boohoo,531,1,104.66
Fashion,11/01/2021,2023-03-18 19:00:18.241450,743.82,4,1,41130,Miss Selfridge,307,1,33.02
Fashion,14/07/2021,2023-03-18 19:19:03.241452,198.53,7,1,89355,Mango Outlet,830,4,89.4
Fashion,06/05/2021,2023-03-18 20:17:01.241453,592.37,7,1,56967,Ally Fashion,742,4,80.31
Fashion,05/06/2020,2023-03-18 17:47:46.241455,378.17,5,1,92460,Primark,544,3,58.32
Fashion,04/02/2021,2023-03-18 20:21:22.241456,376.24,10,0,51100,AS Colour,427,3,106.56
Fashion,04/08/2021,2023-03-18 18:24:31.241458,687.57,8,0,96966,Reebok,109,5,34.94
Fashion,11/11/2021,2023-03-18 19:09:01.241460,691.83,8,0,70996,The Iconic,231,1,111.0
Fashion,24/09/2021,2023-03-18 19:08:15.241461,853.83,6,0,16903,Reebok,896,4,31.65
Fashion,22/11/2020,2023-03-18 18:24:13.241463,770.95,8,1,94135,Mango Outlet,542,3,95.68
Fashion,14/09/2020,2023-03-18 17:44:17.241465,78.76,10,1,74092,Oysho,332,1,113.3
Fashion,12/08/2020,2023-03-18 19:54:32.241466,569.56,7,1,34349,Lefties,811,2,7.57
Fashion,30/12/2020,2023-03-18 19:02:37.241469,545.64,8,0,54784,Ally Fashion,706,1,95.46
Fashion,29/08/2021,2023-03-18 18:23:07.241470,721.07,5,1,23927,Reebok,615,2,113.25
Fashion,28/11/2020,2023-03-18 19:42:30.241472,544.62,6,1,87118,Pull & Bear,722,3,5.13
Fashion,19/02/2020,2023-03-18 18:56:09.241473,33.38,4,0,13395,H&M,737,3,80.78
Fashion,14/11/2021,2023-03-18 18:36:48.241475,996.25,9,1,52767,Lefties,311,3,107.14
Fashion,27/04/2020,2023-03-18 19:02:49.241477,287.75,10,1,55692,Reserved,182,5,73.72
Fashion,26/06/2021,2023-03-18 19:49:44.241478,931.49,6,1,88825,Pull & Bear,936,5,78.09
Fashion,27/09/2021,2023-03-18 19:38:52.241480,401.36,8,1,68991,Temt,188,1,54.98
Fashion,25/12/2020,2023-03-18 19:07:00.241482,781.74,6,1,58121,Supre,787,3,87.12
Fashion,26/11/2020,2023-03-18 18:25:57.241483,221.82,4,1,71689,Zalando,491,4,26.72
Fashion,10/02/2020,2023-03-18 18:33:55.241485,211.94,10,0,16775,River Island,598,4,58.76
Fashion,02/03/2022,2023-03-18 20:02:10.241487,120.55,8,1,90980,Miss Selfridge,693,5,37.66
Fashion,03/06/2020,2023-03-18 18:56:46.241488,127.79,8,0,40922,Missguided,745,2,18.29
Fashion,25/07/2021,2023-03-18 19:05:53.241490,901.73,6,0,88719,Miss Selfridge,969,3,110.11
Fashion,07/09/2020,2023-03-18 17:57:24.241492,785.02,6,0,91658,Boohoo,439,1,113.28
Fashion,13/10/2020,2023-03-18 18:33:46.241493,597.72,6,0,68325,Primark,554,4,106.93
Fashion,07/05/2021,2023-03-18 17:51:52.241495,989.62,10,0,58488,Shein,154,1,105.74
Fashion,01/02/2021,2023-03-18 19:56:54.241496,166.54,2,1,27131,Puma,544,2,32.76
Fashion,08/06/2021,2023-03-18 18:17:54.241498,993.25,4,0,53804,Sportsgirl,132,2,60.35
Fashion,15/01/2021,2023-03-18 19:43:10.241500,725.28,2,1,24245,Reebok,948,1,29.31
Fashion,27/01/2020,2023-03-18 19:54:59.241501,277.96,7,1,51222,Pull & Bear,501,5,103.72
Fashion,29/05/2021,2023-03-18 19:26:36.241503,321.72,9,1,14545,Fashion Nova,955,2,24.12
Fashion,02/01/2020,2023-03-18 18:49:47.241505,86.55,7,0,11753,Nasty Gal,572,4,99.66
Fashion,24/03/2020,2023-03-18 18:23:13.241507,339.87,2,0,31692,Sportsgirl,747,4,35.06
Fashion,15/05/2021,2023-03-18 19:15:31.241508,808.2,4,1,24025,Ally Fashion,700,2,113.66
Fashion,31/08/2020,2023-03-18 18:55:31.241510,973.95,7,0,80168,Sportsgirl,820,5,26.33
Fashion,13/02/2021,2023-03-18 17:51:32.241511,588.14,3,1,21599,Boohoo,444,1,100.78
Fashion,18/09/2021,2023-03-18 20:00:23.241513,357.52,5,0,87134,The Iconic,991,2,64.36
Fashion,08/08/2021,2023-03-18 20:00:25.241515,134.62,8,1,19439,Fashion Nova,945,5,83.64
Fashion,29/03/2020,2023-03-18 18:12:16.241516,355.45,5,0,49803,Nasty Gal,510,2,25.01
Fashion,01/08/2021,2023-03-18 18:18:50.241518,175.04,8,1,24178,Shein,548,4,70.96
Fashion,09/11/2021,2023-03-18 19:52:20.241520,6.55,1,1,15410,Nasty Gal,166,2,1.86
Fashion,14/02/2021,2023-03-18 19:49:02.241521,207.71,4,0,44546,Reserved,982,3,36.79
Fashion,09/11/2020,2023-03-18 18:08:34.241523,441.03,10,0,69234,Mango Outlet,998,3,98.51
Fashion,28/07/2020,2023-03-18 18:04:11.241524,19.53,8,0,79734,Oysho,808,3,117.54
Fashion,27/11/2020,2023-03-18 17:47:54.241526,75.87,10,0,85337,Nasty Gal,739,4,46.88
Fashion,02/01/2020,2023-03-18 20:15:00.241527,845.73,5,0,57447,New Look,763,3,80.61
Fashion,04/02/2020,2023-03-18 20:11:42.241529,405.53,6,0,40897,Fashion Nova,817,4,65.02
Fashion,11/11/2021,2023-03-18 18:20:12.241531,388.99,5,0,54013,Boohoo,694,2,80.36
Fashion,11/02/2020,2023-03-18 17:59:23.241532,186.74,2,1,24276,H&M,185,5,103.6
Fashion,30/01/2020,2023-03-18 20:05:45.241534,459.59,2,1,82132,Fashion Nova,495,3,71.61
Fashion,18/03/2020,2023-03-18 19:18:10.241535,174.37,1,1,10890,The Iconic,548,3,119.78
Fashion,29/10/2021,2023-03-18 17:53:49.241537,373.68,10,0,97764,Reserved,875,1,118.11
Fashion,21/06/2020,2023-03-18 18:49:57.241538,388.0,2,1,85155,New Look,129,1,34.7
Fashion,24/05/2020,2023-03-18 18:15:57.241540,54.07,8,1,73247,Bershka,596,1,49.27
Fashion,16/02/2021,2023-03-18 18:30:31.241542,264.79,4,1,46841,Oysho,522,1,20.28
Fashion,16/12/2020,2023-03-18 17:44:45.241543,120.15,8,1,46165,Zalando,447,4,59.85
Fashion,12/03/2020,2023-03-18 19:02:04.241545,586.81,2,1,42745,Supre,894,4,29.49
Fashion,14/04/2021,2023-03-18 19:23:57.241547,261.32,5,1,39992,Bershka,113,4,28.51
Fashion,30/05/2021,2023-03-18 18:44:23.241548,782.65,6,0,69237,New Look,363,2,62.77
Fashion,03/12/2020,2023-03-18 19:37:34.241550,175.19,7,1,40030,Pull & Bear,984,3,28.0
Fashion,05/05/2020,2023-03-18 17:44:00.241551,607.47,9,1,64946,Fashion Nova,418,5,119.07
Fashion,03/01/2020,2023-03-18 19:19:18.241553,47.02,8,1,96290,Miss Selfridge,567,3,53.74
Fashion,23/08/2020,2023-03-18 19:15:18.241555,900.1,5,0,23192,H&M,129,5,35.29
Fashion,17/01/2022,2023-03-18 20:23:04.241556,922.29,9,0,35168,Puma,105,2,9.67
Fashion,15/11/2020,2023-03-18 20:01:12.241558,61.22,8,0,95092,Oysho,832,2,3.56
Fashion,01/01/2020,2023-03-18 18:20:54.241560,753.06,1,0,55979,Oysho,951,2,71.49
Fashion,22/09/2020,2023-03-18 19:01:36.241561,327.86,1,1,17979,Boohoo,337,3,60.22
Fashion,21/12/2021,2023-03-18 17:52:48.241563,689.99,5,0,86933,PrettyLittleThing,213,3,112.69
Fashion,15/02/2020,2023-03-18 18:38:12.241564,951.91,8,0,63973,Reserved,767,1,46.65
Fashion,31/03/2021,2023-03-18 20:07:36.241566,116.96,5,0,86124,Reebok,334,4,78.48
Fashion,28/06/2020,2023-03-18 19:58:16.241567,540.81,8,1,70607,Boohoo,318,5,97.87
Fashion,23/12/2020,2023-03-18 18:06:29.241569,681.75,5,0,70445,Reebok,319,5,44.53
Fashion,14/12/2020,2023-03-18 17:52:53.241571,237.17,2,0,14160,Shein,514,1,58.03
Fashion,21/10/2020,2023-03-18 18:05:42.241572,811.0,9,1,54403,Miss Selfridge,143,1,104.06
Fashion,21/12/2021,2023-03-18 18:36:13.241574,156.42,9,0,65154,Sportsgirl,843,2,42.53
Fashion,30/03/2020,2023-03-18 18:00:08.241576,300.85,1,1,95981,Temt,389,1,108.25
Fashion,14/02/2021,2023-03-18 19:41:03.241577,381.7,8,1,42105,Ally Fashion,774,1,2.83
Fashion,15/08/2021,2023-03-18 19:32:19.241579,325.85,10,1,22887,Boohoo,607,5,101.37
Fashion,09/04/2020,2023-03-18 19:12:50.241581,489.01,1,0,81078,Puma,711,2,39.46
Fashion,15/12/2021,2023-03-18 17:45:43.241582,491.07,9,1,71226,Bershka,685,2,60.37
Fashion,31/10/2020,2023-03-18 18:40:08.241584,516.96,1,1,16714,Reebok,262,5,44.66
Fashion,11/10/2021,2023-03-18 18:54:58.241586,991.11,5,0,23347,New Look,370,5,20.1
Fashion,21/01/2020,2023-03-18 19:07:30.241587,733.47,2,0,17052,C&A,896,2,5.54
Fashion,17/02/2022,2023-03-18 18:31:11.241589,722.75,6,1,64388,Pull & Bear,265,3,73.91
Fashion,31/03/2020,2023-03-18 18:33:36.241590,116.91,8,1,48412,New Look,808,3,106.79
Fashion,23/01/2022,2023-03-18 19:18:59.241592,113.75,2,1,79891,Lefties,501,2,9.93
Fashion,11/07/2021,2023-03-18 20:08:18.241594,179.64,9,0,17363,Fashion Nova,921,2,78.27
Fashion,24/09/2021,2023-03-18 18:08:21.241596,536.54,6,0,38987,Reserved,130,2,5.49
Fashion,30/08/2020,2023-03-18 18:20:29.241597,254.29,5,1,75255,Oysho,357,2,65.77
Fashion,11/08/2021,2023-03-18 17:52:54.241599,283.64,7,0,56607,Supre,562,2,17.88
Fashion,23/02/2021,2023-03-18 18:46:32.241600,125.88,3,0,92691,Boohoo,532,5,24.99
Fashion,22/02/2022,2023-03-18 20:25:30.241602,909.71,1,1,84256,River Island,940,3,109.04
Fashion,05/10/2020,2023-03-18 20:23:11.241603,458.83,2,1,75773,Lefties,720,1,54.02
Fashion,13/05/2021,2023-03-18 18:05:25.241605,145.97,8,0,60463,Reebok,771,5,42.02
Fashion,12/10/2021,2023-03-18 17:41:21.241607,382.43,10,0,75686,Mango Outlet,212,3,34.79
Fashion,13/01/2020,2023-03-18 17:56:33.241608,44.48,7,1,40871,H&M,728,5,38.75
Fashion,02/02/2022,2023-03-18 17:55:20.241610,298.58,5,1,28253,Puma,436,1,11.41
Fashion,15/11/2021,2023-03-18 18:38:50.241612,603.69,6,0,52792,Shein,158,5,48.31
Fashion,17/10/2021,2023-03-18 19:29:36.241613,37.44,10,1,87210,Lefties,598,2,23.74
Fashion,12/06/2021,2023-03-18 17:48:41.241615,927.3,1,1,81281,New Look,516,1,15.08
Fashion,08/11/2021,2023-03-18 18:17:53.241616,729.57,10,0,46316,Stradivarius,399,5,24.16
Fashion,22/02/2022,2023-03-18 18:46:41.241618,938.25,1,1,18589,C&A,360,4,55.28
Fashion,08/05/2021,2023-03-18 19:35:48.241619,665.68,8,0,79678,Ally Fashion,428,4,94.38
Fashion,20/04/2021,2023-03-18 18:02:56.241621,637.86,4,0,94921,Lefties,239,4,70.7
Fashion,24/04/2021,2023-03-18 19:54:52.241623,193.65,4,0,37967,Temt,399,5,61.05
Fashion,30/11/2020,2023-03-18 20:13:31.241624,319.56,5,0,40403,Temt,342,2,75.44
Fashion,03/12/2020,2023-03-18 18:35:41.241626,904.54,4,1,96099,Nasty Gal,839,5,92.52
Fashion,13/10/2021,2023-03-18 18:49:54.241628,412.86,4,1,76457,Sportsgirl,698,2,61.82
Fashion,22/01/2020,2023-03-18 19:09:54.241630,572.22,8,0,23056,Missguided,755,2,24.08
Fashion,12/04/2021,2023-03-18 18:04:46.241632,128.99,3,0,59175,Boohoo,443,4,61.69
Fashion,10/08/2020,2023-03-18 19:48:35.241633,182.15,6,1,88749,Bershka,352,2,101.11
Fashion,25/02/2021,2023-03-18 19:23:25.241635,216.16,6,1,84870,The Iconic,712,1,41.0
Fashion,12/02/2021,2023-03-18 20:18:14.241637,686.65,7,1,74550,Ally Fashion,105,2,47.71
Fashion,28/10/2021,2023-03-18 18:46:03.241638,45.08,9,0,22629,Pull & Bear,438,2,85.9
Fashion,13/09/2020,2023-03-18 18:14:37.241640,136.92,1,1,21784,C&A,352,4,23.3
Fashion,09/09/2021,2023-03-18 18:50:17.241641,76.59,1,0,90928,Oysho,358,5,7.33
Fashion,27/02/2022,2023-03-18 18:55:14.241645,590.14,8,0,44877,New Look,572,2,44.06
Fashion,09/06/2021,2023-03-18 18:01:54.241647,74.41,6,1,67490,Mango Outlet,178,3,86.4
Fashion,02/06/2020,2023-03-18 19:06:51.241648,22.42,1,0,33362,Bershka,781,5,4.94
Fashion,11/11/2021,2023-03-18 19:55:43.241650,915.87,10,1,91520,Supre,353,5,77.95
Fashion,17/04/2021,2023-03-18 18:31:10.241652,262.22,7,0,61462,Boohoo,327,2,25.54
Fashion,06/07/2021,2023-03-18 19:51:53.241653,703.91,10,1,14734,Puma,826,1,94.89
Fashion,21/03/2020,2023-03-18 18:28:08.241655,309.98,7,1,44841,Lefties,253,1,20.63
Fashion,23/03/2020,2023-03-18 18:05:51.241656,266.0,10,1,15307,Bershka,593,5,101.08
Fashion,20/12/2020,2023-03-18 20:13:11.241658,561.27,3,0,80327,Puma,777,2,116.0
Fashion,27/06/2021,2023-03-18 19:14:57.241660,392.75,8,1,89393,H&M,181,3,96.0
Fashion,15/03/2020,2023-03-18 19:08:20.241661,186.2,2,0,23610,Mango Outlet,214,4,63.86
Fashion,12/02/2022,2023-03-18 17:46:16.241663,893.68,7,1,86015,Stradivarius,603,4,42.09
Fashion,29/01/2021,2023-03-18 18:24:50.241665,102.6,2,0,64737,Reserved,507,2,50.04
Fashion,22/09/2020,2023-03-18 18:23:30.241666,550.64,8,1,36849,PrettyLittleThing,365,1,50.03
Fashion,02/04/2021,2023-03-18 19:55:55.241668,471.09,10,0,66688,Fashion Nova,616,5,31.69
Fashion,09/04/2020,2023-03-18 20:06:16.241669,491.05,2,0,41314,Mango Outlet,335,4,63.15
Fashion,23/06/2021,2023-03-18 18:26:07.241671,512.55,1,0,73758,Supre,158,3,78.22
Fashion,29/01/2020,2023-03-18 19:32:17.241673,183.25,5,1,53649,Miss Selfridge,528,3,52.01
Fashion,03/02/2020,2023-03-18 18:54:27.241674,892.74,5,1,18957,Shein,350,4,40.18
Fashion,10/01/2021,2023-03-18 17:44:18.241676,880.99,6,0,47197,Boohoo,156,4,31.06
Fashion,09/10/2021,2023-03-18 18:55:43.241677,974.84,10,1,28401,Temt,148,2,20.51
Fashion,20/03/2020,2023-03-18 17:59:14.241679,994.61,7,1,83312,Zalando,822,2,17.41
Fashion,03/01/2021,2023-03-18 19:15:59.241681,734.81,8,0,33288,Mango Outlet,297,4,57.43
Fashion,12/01/2022,2023-03-18 19:48:38.241683,286.76,8,1,97177,Sportsgirl,182,5,14.36
Fashion,17/01/2020,2023-03-18 18:53:01.241684,493.67,4,1,40885,Lefties,379,5,29.94
Fashion,22/09/2021,2023-03-18 19:23:13.241686,885.63,8,1,94527,Lefties,178,1,48.5
Fashion,07/04/2020,2023-03-18 18:14:44.241688,461.19,10,0,91144,New Look,231,2,50.7
